Field,Value
"Karen Art Studio Smith, John ssn XXXXX-3128Petod Beginning",6/9/2010
1134 Main Stet 1123 River Road GrossPay  SI28RS6——Paiod Ending,6/172010
"Louisville KY 40211 Louisville, KY 420 NePay $989.79 CheckDae™",172010
02) D234 Filing Stas M3 Chock No,100
Salary si2ss.a6 $1286.46 Fed Income Tn. s10s23,10823
"Overtime 0 $0.00, S00 Sosil Security Tax St678",$7678
Bonus soo S00 Malice Tax SI796,1798
Comissons s000 0.00 State reome Tax $64.70,$6470
“Tips 0.00 $0.00 Lecal Income Tax 30.00,soo
Gross Pay - STIG ST2ERAG Health Insurance 315.00,sis0
"401K $50.00,",$50.00
NetPay $59.79,$959.79
Karen Art Studio Smith John amount ssn XXXXX-3123_Patod Beginning,6132010
1134 Main Stet 23 River Road GrossPay $1288 Paviod Ending,6/172010
"Louisville, KY 40211 Louisville. KY 42011 NePay 95979 Check Dee",6/172010
(602) 123.234 Fling Stas MB (Check No,1000
Salary si.2s8.46 S128846 Pod Income'Tax 10423,104.23
"Overtine oo 30.00, 0.00 Socal Securiy Tax S678",ST678
Bonus 50.00 Soo) Medicare Tax 81796,31796
"Commissions $0.00, S00 State Income Tax 64.70",36470
"“igs $0.00, S000 Local Income Tax ‘0.00,",30.00
Gross Pay STERAG——SI2HEAG—ealth surance sis.00,$15.00
40k $50.00,3504
NetPay 3959.79,397
Karen Art Studio My Bank No.,1000
1134 Main Stet 123 Bank Road,eae
"Louisville, KY 40211",7
(502) 123-1234,172010)
Order of = Jobo Smith,$1959.79
[Nine Hundred Ffty-Nine Dollars and,79/100
1123 River,Road
"Louisville, KY",42011
Memo,_PayCheck Ge terreno ses cnnct Gt Ea
#oog00,"s000#"""
223456,"7890223456789"""
